"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2024","28.70","28.27","29.81","26.62","","2.98%"
"30/04/2024","27.87","27.55","28.68","27.48","","0.11%"
"29/04/2024","27.84","28.46","28.73","27.31","","0.11%"
"26/04/2024","27.81","27.91","28.60","27.80","","-1.87%"
"25/04/2024","28.34","28.94","29.04","27.66","","-2.41%"
"24/04/2024","29.04","29.20","30.90","28.89","","0.62%"
"23/04/2024","28.86","29.70","30.01","26.79","","-2.83%"
"22/04/2024","29.70","30.54","30.74","29.53","","-6.78%"
"19/04/2024","31.86","32.22","32.47","31.20","","1.46%"
"18/04/2024","31.40","31.86","32.27","31.11","","-4.85%"
"17/04/2024","33.00","33.79","33.87","32.86","","-1.81%"
"16/04/2024","33.61","33.51","34.08","33.33","","-5.56%"
"15/04/2024","35.59","31.20","37.23","30.81","","10.56%"
"12/04/2024","32.19","34.92","34.92","31.75","","2.94%"
"11/04/2024","31.27","30.81","31.27","29.79","","3.96%"
"10/04/2024","30.08","28.33","31.27","27.64","","3.87%"
"09/04/2024","28.96","29.67","29.79","28.40","","-5.27%"
"08/04/2024","30.57","31.19","31.46","30.19","","-5.53%"
"05/04/2024","32.36","33.62","33.72","31.81","","0.59%"
"04/04/2024","32.17","27.49","35.09","27.49","","10.63%"
"03/04/2024","29.08","28.80","30.05","28.70","","0.14%"
"02/04/2024","29.04","27.66","29.28","26.43","","5.03%"
"01/04/2024","27.65","27.24","27.73","25.98","","5.25%"
"28/03/2024","26.27","26.53","26.55","25.86","","-1.24%"
"27/03/2024","26.60","26.43","26.66","26.05","","-2.39%"
"26/03/2024","27.25","27.51","27.75","27.03","","-0.87%"
"25/03/2024","27.49","27.23","27.76","27.16","","2.12%"
"22/03/2024","26.92","27.49","27.49","26.59","","-2.22%"
"21/03/2024","27.53","29.99","30.10","27.51","","-4.48%"
"20/03/2024","28.82","29.96","29.96","28.80","","-1.37%"
"19/03/2024","29.22","30.09","30.09","29.22","","-1.98%"
"18/03/2024","29.81","30.46","30.46","29.69","","0.13%"
"15/03/2024","29.77","31.99","33.20","29.58","","-5.52%"
"14/03/2024","31.51","31.92","33.39","26.89","","6.74%"
"13/03/2024","29.52","29.10","29.52","28.78","","0.54%"
"12/03/2024","29.36","30.46","30.46","28.48","","0.86%"
"11/03/2024","29.11","30.83","31.07","28.91","","-1.79%"
"08/03/2024","29.64","29.78","29.92","29.49","","0.24%"
"07/03/2024","29.57","30.42","30.42","29.31","","0.00%"
"06/03/2024","29.57","30.12","32.12","29.46","","-2.05%"
"05/03/2024","30.19","33.22","33.22","29.60","","-0.92%"
"04/03/2024","30.47","32.99","33.03","30.47","","-1.96%"
"01/03/2024","31.08","31.14","31.46","30.89","","-1.33%"
"29/02/2024","31.50","31.95","32.42","31.13","","0.93%"
"28/02/2024","31.21","31.32","33.18","30.84","","-0.45%"
"27/02/2024","31.35","31.94","31.98","31.25","","-1.14%"
"26/02/2024","31.71","32.55","32.55","31.59","","1.28%"
"23/02/2024","31.31","31.53","31.53","30.86","","2.49%"
"22/02/2024","30.55","31.45","31.45","30.51","","-1.61%"
"21/02/2024","31.05","33.83","33.83","30.87","","-2.39%"
"20/02/2024","31.81","32.38","32.78","31.71","","3.15%"
"16/02/2024","30.84","34.73","34.73","30.76","","-3.69%"
"15/02/2024","32.02","34.35","34.35","31.87","","-2.26%"
"14/02/2024","32.76","34.45","34.45","31.86","","1.20%"
"13/02/2024","32.37","34.93","34.93","32.18","","-0.98%"
"12/02/2024","32.69","35.01","35.01","32.56","","0.77%"
"09/02/2024","32.44","33.60","33.80","31.66","","2.53%"
"08/02/2024","31.64","33.28","33.28","30.65","","1.38%"
"07/02/2024","31.21","35.55","35.55","31.21","","-5.45%"
"06/02/2024","33.01","37.22","37.22","33.01","","-4.12%"
"05/02/2024","34.43","37.45","37.76","34.25","","-1.21%"
"02/02/2024","34.85","38.49","38.49","34.60","","-1.50%"
"01/02/2024","35.38","37.50","37.50","34.81","","-5.02%"
"31/01/2024","37.25","37.34","38.22","36.43","","2.93%"
"30/01/2024","36.19","38.93","38.93","35.96","","-0.36%"
"29/01/2024","36.32","37.38","37.43","36.08","","4.43%"
"26/01/2024","34.78","37.06","37.31","33.84","","-0.91%"
"25/01/2024","35.10","35.18","35.99","33.78","","3.27%"
"24/01/2024","33.99","35.59","35.59","33.92","","-2.86%"
"23/01/2024","34.99","37.21","37.21","34.62","","-2.02%"
"22/01/2024","35.71","36.78","36.78","34.77","","-0.22%"
"19/01/2024","35.79","36.33","36.33","34.58","","-0.53%"
"18/01/2024","35.98","39.74","39.87","35.53","","-2.91%"
"17/01/2024","37.06","39.70","39.70","36.92","","-3.34%"
"16/01/2024","38.34","41.06","41.06","36.71","","-5.66%"
"12/01/2024","40.64","40.38","40.93","36.37","","10.49%"
"11/01/2024","36.78","38.28","38.28","35.21","","1.18%"
"10/01/2024","36.35","38.01","38.01","35.54","","0.72%"
"09/01/2024","36.09","37.75","37.75","35.57","","-1.90%"
"08/01/2024","36.79","37.83","38.59","36.77","","2.00%"
"05/01/2024","36.07","38.43","39.54","36.04","","-4.02%"
"04/01/2024","37.58","38.80","39.23","37.42","","-1.67%"
"03/01/2024","38.22","39.85","39.96","37.99","","-2.13%"
"02/01/2024","39.05","38.81","39.10","37.21","","7.81%"
"29/12/2023","36.22","37.33","37.33","35.20","","-0.63%"
"28/12/2023","36.45","36.28","36.50","34.67","","2.94%"
"27/12/2023","35.41","37.37","37.37","34.66","","2.55%"
"26/12/2023","34.53","37.90","37.90","33.73","","3.63%"
"22/12/2023","33.32","37.14","37.14","32.84","","-5.98%"
"21/12/2023","35.44","43.59","43.62","34.84","","1.32%"
"20/12/2023","34.98","37.96","37.96","34.51","","-0.17%"
"19/12/2023","35.04","38.46","38.46","34.83","","-5.53%"
"18/12/2023","37.09","38.65","38.72","36.39","","5.58%"
"15/12/2023","35.13","40.28","40.28","34.93","","3.38%"
"14/12/2023","33.98","39.28","39.28","33.08","","-7.16%"
"13/12/2023","36.60","37.22","40.30","33.47","","0.60%"
"12/12/2023","36.38","38.66","38.69","35.98","","3.06%"
"11/12/2023","35.30","38.74","38.74","34.61","","-2.59%"
"08/12/2023","36.24","38.89","38.89","36.16","","-4.18%"
"07/12/2023","37.82","38.89","38.89","37.23","","-4.78%"
"06/12/2023","39.72","39.64","40.19","36.96","","9.24%"
"05/12/2023","36.36","39.01","39.08","36.09","","-4.52%"
"04/12/2023","38.08","37.91","39.95","37.18","","6.67%"
"01/12/2023","35.70","37.93","37.93","34.86","","-9.39%"
"30/11/2023","39.40","41.63","42.22","38.18","","-8.16%"
"29/11/2023","42.90","42.63","46.10","41.50","","-0.56%"
"28/11/2023","43.14","43.93","43.93","41.61","","-1.73%"
"27/11/2023","43.90","45.02","45.02","42.38","","1.20%"
"24/11/2023","43.38","44.07","44.07","41.48","","1.45%"
"22/11/2023","42.76","42.49","45.81","41.12","","11.01%"
"21/11/2023","38.52","40.39","40.39","38.26","","-1.23%"
"20/11/2023","39.00","41.55","41.55","38.69","","-3.54%"
"17/11/2023","40.43","42.37","42.40","39.81","","-4.94%"
"16/11/2023","42.53","40.77","43.03","39.92","","7.64%"
"15/11/2023","39.51","39.00","39.67","38.07","","3.19%"
"14/11/2023","38.29","43.59","43.59","38.02","","-2.82%"
"13/11/2023","39.40","41.31","41.31","39.00","","0.28%"
"10/11/2023","39.29","41.96","41.96","39.27","","-4.71%"
"09/11/2023","41.23","41.03","41.32","39.36","","1.95%"
"08/11/2023","40.44","38.78","41.00","38.33","","4.44%"
"07/11/2023","38.72","36.09","38.95","36.09","","6.64%"
"06/11/2023","36.31","39.93","39.93","35.92","","-5.76%"
"03/11/2023","38.53","39.74","40.72","38.13","","-3.17%"
"02/11/2023","39.79","37.80","39.85","37.80","","-1.80%"
"01/11/2023","40.52","40.27","41.89","39.99","","-3.50%"
"31/10/2023","41.99","41.51","43.64","41.38","","-4.59%"
"30/10/2023","44.01","45.33","45.54","43.41","","-5.64%"
"27/10/2023","46.64","43.77","46.68","41.50","","6.17%"
"26/10/2023","43.93","42.63","44.84","42.63","","-2.18%"
"25/10/2023","44.91","39.18","44.91","39.18","","9.32%"
"24/10/2023","41.08","38.69","41.62","38.59","","-1.58%"
"23/10/2023","41.74","44.11","44.11","40.20","","-4.68%"
"20/10/2023","43.79","48.57","48.57","43.57","","-4.18%"
"19/10/2023","45.70","43.55","45.80","41.54","","2.93%"
"18/10/2023","44.40","43.94","44.83","42.12","","7.32%"
"17/10/2023","41.37","40.69","41.76","40.30","","1.65%"
"16/10/2023","40.70","38.65","44.26","38.65","","-8.00%"
"13/10/2023","44.24","42.60","44.48","40.31","","14.85%"
"12/10/2023","38.52","38.68","38.88","37.50","","-1.08%"
"11/10/2023","38.94","37.92","40.10","37.92","","-1.52%"
"10/10/2023","39.54","41.87","42.09","38.66","","-0.78%"
"09/10/2023","39.85","37.19","39.85","37.06","","11.69%"
"06/10/2023","35.68","35.77","36.53","35.31","","-2.49%"
"05/10/2023","36.59","33.78","37.14","33.78","","3.51%"
"04/10/2023","35.35","32.92","35.78","32.92","","6.32%"
"03/10/2023","33.25","31.32","33.52","31.20","","3.91%"
"02/10/2023","32.00","31.04","33.83","31.04","","-0.74%"
"29/09/2023","32.24","32.26","32.58","30.59","","1.96%"
"28/09/2023","31.62","32.08","32.08","30.74","","-2.65%"
"27/09/2023","32.48","30.38","32.52","29.76","","3.77%"
"26/09/2023","31.30","30.38","32.42","29.70","","1.10%"
"25/09/2023","30.96","30.50","31.48","30.50","","1.14%"
"22/09/2023","30.61","32.31","32.31","30.07","","-2.36%"
"21/09/2023","31.35","30.02","31.95","29.74","","3.19%"
"20/09/2023","30.38","31.79","31.88","28.83","","0.20%"
"19/09/2023","30.32","27.31","30.57","26.61","","8.63%"
"18/09/2023","27.91","27.89","28.08","26.64","","2.76%"
"15/09/2023","27.16","25.97","27.57","25.48","","2.26%"
"14/09/2023","26.56","29.79","29.79","25.52","","5.99%"
"13/09/2023","25.06","23.58","26.43","23.58","","3.43%"
"12/09/2023","24.23","26.96","26.96","23.78","","-0.57%"
"11/09/2023","24.37","27.03","27.46","24.01","","-10.27%"
"08/09/2023","27.16","28.75","28.75","27.11","","-1.56%"
"07/09/2023","27.59","29.90","30.27","27.47","","-2.61%"
"06/09/2023","28.33","29.61","29.69","28.06","","-1.12%"
"05/09/2023","28.65","31.93","31.95","27.46","","4.26%"
"01/09/2023","27.48","26.93","27.58","26.06","","3.46%"
"31/08/2023","26.56","27.13","28.06","26.18","","-0.26%"
"30/08/2023","26.63","27.15","28.18","25.58","","-3.62%"
"29/08/2023","27.63","29.06","29.36","27.53","","-3.59%"
"28/08/2023","28.66","27.62","29.28","27.62","","-0.52%"
"25/08/2023","28.81","27.31","28.95","27.31","","-0.24%"
"24/08/2023","28.88","29.07","29.79","28.39","","1.44%"
"23/08/2023","28.47","29.19","30.81","28.08","","-0.32%"
"22/08/2023","28.56","29.27","29.37","28.12","","-1.18%"
"21/08/2023","28.90","29.70","29.93","28.75","","1.65%"
"18/08/2023","28.43","30.32","30.46","28.38","","-2.97%"
"17/08/2023","29.30","29.21","29.69","28.54","","2.66%"
"16/08/2023","28.54","29.59","29.78","27.55","","0.85%"
"15/08/2023","28.30","27.58","29.53","26.90","","2.72%"
"14/08/2023","27.55","28.14","28.51","26.70","","-1.75%"
"11/08/2023","28.04","27.81","28.23","27.09","","2.82%"
"10/08/2023","27.27","28.19","28.19","26.82","","-4.52%"
"09/08/2023","28.56","27.42","29.14","26.44","","5.23%"
"08/08/2023","27.14","28.76","29.39","27.10","","-2.13%"
"07/08/2023","27.73","28.34","28.66","27.30","","-1.18%"
"04/08/2023","28.06","27.51","28.72","27.51","","-1.68%"
"03/08/2023","28.54","28.85","29.19","28.26","","-0.70%"
"02/08/2023","28.74","27.27","29.58","27.27","","1.38%"
"01/08/2023","28.35","27.74","28.83","27.72","","-0.46%"
"31/07/2023","28.48","29.06","29.26","28.43","","-3.16%"
"28/07/2023","29.41","27.80","29.71","27.79","","1.00%"
"27/07/2023","29.12","28.62","30.24","28.52","","-2.84%"
"26/07/2023","29.97","29.89","31.92","29.89","","-2.15%"
"25/07/2023","30.63","30.93","32.31","30.41","","1.73%"
"24/07/2023","30.11","31.45","31.45","30.05","","1.55%"
"21/07/2023","29.65","31.21","31.40","29.48","","-1.66%"
"20/07/2023","30.15","31.67","31.77","30.00","","-2.93%"
"19/07/2023","31.06","30.80","31.84","29.90","","1.30%"
"18/07/2023","30.66","30.91","31.54","30.24","","-2.17%"
"17/07/2023","31.34","32.30","33.38","30.89","","4.47%"
"14/07/2023","30.00","30.03","30.48","29.39","","-0.13%"
"13/07/2023","30.04","32.16","32.30","29.71","","-8.11%"
"12/07/2023","32.69","34.68","34.84","32.66","","0.80%"
"11/07/2023","32.43","39.85","39.85","32.23","","-15.44%"
"10/07/2023","38.35","34.57","38.67","32.48","","11.00%"
"07/07/2023","34.55","34.69","37.55","31.79","","-1.65%"
"06/07/2023","35.13","34.11","36.26","32.91","","3.60%"
"05/07/2023","33.91","34.98","34.98","33.62","","0.09%"
"03/07/2023","33.88","35.18","35.18","32.92","","1.80%"
"30/06/2023","33.28","39.40","39.40","33.25","","-6.04%"
"29/06/2023","35.42","38.49","39.11","35.39","","-3.91%"
"28/06/2023","36.86","38.95","40.10","36.80","","-6.21%"
"27/06/2023","39.30","39.65","39.67","37.53","","7.17%"
"26/06/2023","36.67","38.69","38.69","36.56","","3.70%"
"23/06/2023","35.36","38.12","38.12","35.10","","1.23%"
"22/06/2023","34.93","36.86","37.45","34.43","","5.02%"
"21/06/2023","33.26","36.71","36.71","32.81","","-4.29%"
"20/06/2023","34.75","34.32","35.15","33.62","","5.33%"
"16/06/2023","32.99","35.17","35.17","31.74","","-0.24%"
"15/06/2023","33.07","37.64","37.64","32.08","","-1.75%"
"14/06/2023","33.66","32.14","38.30","32.14","","3.95%"
"13/06/2023","32.38","35.31","36.30","31.66","","-10.92%"
"12/06/2023","36.35","33.27","36.78","32.42","","7.86%"
"09/06/2023","33.70","34.04","34.76","33.16","","-4.21%"
"08/06/2023","35.18","36.83","36.83","33.92","","3.08%"
"07/06/2023","34.13","35.33","35.84","34.07","","-5.38%"
"06/06/2023","36.07","38.58","38.58","35.70","","-3.68%"
"05/06/2023","37.45","42.33","42.33","37.05","","-5.43%"
"02/06/2023","39.60","39.53","41.47","38.89","","-2.22%"
"01/06/2023","40.50","42.05","42.07","40.03","","-0.44%"
"31/05/2023","40.68","41.14","41.74","40.48","","2.52%"
"30/05/2023","39.68","39.67","40.02","39.00","","10.38%"
"26/05/2023","35.95","37.44","37.44","35.52","","-2.15%"
"25/05/2023","36.74","37.29","37.60","36.39","","2.45%"
"24/05/2023","35.86","35.42","36.17","35.01","","2.14%"
"23/05/2023","35.11","35.48","35.49","34.52","","-1.15%"
"22/05/2023","35.52","36.93","37.69","34.85","","-0.92%"
"19/05/2023","35.85","34.64","36.83","34.64","","-0.47%"
"18/05/2023","36.02","36.34","37.05","35.89","","-1.15%"
"17/05/2023","36.44","35.59","37.43","35.59","","1.28%"
"16/05/2023","35.98","37.75","37.75","35.28","","2.33%"
"15/05/2023","35.16","38.05","38.05","35.02","","-5.79%"
"12/05/2023","37.32","36.69","37.32","35.29","","4.42%"
"11/05/2023","35.74","34.40","36.15","34.40","","4.72%"
"10/05/2023","34.13","34.64","35.74","33.68","","-2.85%"
"09/05/2023","35.13","34.59","36.82","34.59","","-1.15%"
"08/05/2023","35.54","36.00","37.33","35.50","","-4.85%"
"05/05/2023","37.35","41.27","42.69","37.02","","-14.63%"
"04/05/2023","43.75","43.16","44.67","42.70","","1.20%"
"03/05/2023","43.23","42.10","44.44","41.28","","9.50%"
"02/05/2023","39.48","36.90","40.76","36.63","","9.85%"
"01/05/2023","35.94","37.12","37.26","35.86","","0.87%"
"28/04/2023","35.63","38.27","38.27","35.58","","-5.64%"
"27/04/2023","37.76","40.67","40.72","37.62","","-3.80%"
"26/04/2023","39.25","36.96","39.26","36.01","","7.12%"
"25/04/2023","36.64","33.85","36.69","33.76","","6.88%"
"24/04/2023","34.28","36.14","36.51","34.24","","-2.53%"
"21/04/2023","35.17","35.20","36.24","34.93","","-3.41%"
"20/04/2023","36.41","36.43","37.55","36.09","","5.72%"
"19/04/2023","34.44","36.17","36.33","34.14","","2.23%"
"18/04/2023","33.69","34.68","34.75","32.92","","2.31%"
"17/04/2023","32.93","34.85","34.86","32.52","","1.29%"
"14/04/2023","32.51","34.07","34.14","31.83","","-0.82%"
"13/04/2023","32.78","34.65","34.65","32.62","","-2.85%"
"12/04/2023","33.74","34.13","34.43","33.31","","-1.43%"
"11/04/2023","34.23","38.43","38.88","33.88","","-0.23%"
"10/04/2023","34.31","37.59","37.61","34.29","","-1.29%"
"06/04/2023","34.76","38.72","38.72","34.42","","-11.19%"
"05/04/2023","39.14","39.35","40.41","38.56","","-0.71%"
"04/04/2023","39.42","38.26","40.04","37.44","","-0.18%"
"03/04/2023","39.49","43.16","43.16","38.45","","-2.11%"
"31/03/2023","40.34","43.33","43.39","40.34","","-4.00%"
"30/03/2023","42.02","45.78","45.84","42.02","","-3.02%"
"29/03/2023","43.33","50.10","50.10","43.19","","-2.21%"
"28/03/2023","44.31","47.06","47.29","44.30","","-2.42%"
"27/03/2023","45.41","48.61","48.61","45.36","","-6.10%"
"25/03/2023","48.36","48.36","48.36","48.36","","0.00%"
"24/03/2023","48.36","53.47","53.49","48.28","","3.11%"
"23/03/2023","46.90","48.20","48.20","44.92","","-0.15%"
"22/03/2023","46.97","47.59","47.79","45.18","","-2.39%"
"21/03/2023","48.12","51.17","51.17","46.45","","-5.91%"
"20/03/2023","51.14","51.82","52.55","50.46","","-0.66%"
"17/03/2023","51.48","47.97","54.19","47.08","","5.82%"
"16/03/2023","48.65","49.02","54.12","48.39","","-2.27%"
"15/03/2023","49.78","54.15","57.89","45.39","","5.00%"
"14/03/2023","47.41","42.03","47.68","35.69","","24.34%"
"13/03/2023","38.13","39.29","46.28","34.33","","3.73%"
"10/03/2023","36.76","36.14","36.98","35.42","","5.45%"
"09/03/2023","34.86","32.81","34.92","31.96","","4.40%"
"08/03/2023","33.39","33.82","34.54","33.35","","-1.10%"
"07/03/2023","33.76","32.83","33.82","32.25","","2.21%"
"06/03/2023","33.03","35.92","36.56","33.01","","-6.16%"
"03/03/2023","35.20","37.21","38.51","35.19","","-1.15%"
"02/03/2023","35.61","37.25","39.17","35.59","","-2.78%"
"01/03/2023","36.63","36.58","37.95","36.34","","3.42%"
"28/02/2023","35.42","38.15","38.36","35.38","","-5.67%"
"27/02/2023","37.55","39.70","39.70","37.45","","0.81%"
"24/02/2023","37.25","37.63","38.62","36.99","","1.53%"
"23/02/2023","36.69","39.40","39.51","36.67","","-4.35%"
"22/02/2023","38.36","37.56","38.62","37.41","","3.54%"
"21/02/2023","37.05","37.88","38.05","36.92","","2.80%"
"17/02/2023","36.04","36.08","38.58","35.95","","2.88%"
"16/02/2023","35.03","36.43","36.49","34.68","","-1.88%"
"15/02/2023","35.70","37.40","38.19","35.42","","-2.65%"
"14/02/2023","36.67","39.15","39.18","36.54","","-2.91%"
"13/02/2023","37.77","36.06","37.82","35.21","","5.24%"
"10/02/2023","35.89","35.81","36.18","34.97","","0.39%"
"09/02/2023","35.75","35.24","36.77","35.06","","-3.43%"
"08/02/2023","37.02","36.31","37.10","35.79","","-0.78%"
"07/02/2023","37.31","38.95","39.72","37.22","","-4.14%"
"06/02/2023","38.92","39.81","40.10","38.87","","-1.42%"
"03/02/2023","39.48","39.37","40.11","37.54","","2.57%"
"02/02/2023","38.49","39.07","39.18","38.01","","1.32%"
"01/02/2023","37.99","37.53","39.16","37.18","","-1.45%"
"31/01/2023","38.55","40.36","40.99","38.55","","-4.06%"
"30/01/2023","40.18","39.76","40.81","39.76","","4.09%"
